#депрессиякитов,,,
#киты,,,
#морекитов,,,
#няпока,,,
#рина,,,
#синийкит,,,
#тихийдом,,,
#ф57,,,
#ф58,,,
#f57,,,
#f58,,,
атропин,,,
безвыходный,ситуация,,
безнадега,,,
безнадёга,,,
безнадежно,больной,,
болиголов,,,
броситься,поезд,,
вскрыться,,,
вскрываться,,,
выйти,окно,,
выпилиться,,,
выхода,нет,,
глотать,таблетка,,
горячий,свинцовый,инъекция,
горячий,инъекция,свинец,
депра,,,
депрессия,,,
добровольный,уход,,
дотронуться,рельса,,
жизнь,потерять,ценность,
игра,смерть,,
как,кобейн,,
как,кобеин,,
какой,смысл,,
киты,,,
клуб,27,,
клуб,двадцать,семь,
лезть,петлить,,
лечь,поезд,,
лечь,рельса,,
лучше,без,я,
морекитов,,,
наглотаться,таблетка,,
никому,нет,дела,
ня,пока,,
няпока,,,
петлить,,,
петля,,,
повеситься,,,
покончить,жизнь,,
покончить,собой,,
пора,на,берег,
последняя,записка,,
предсмертная,записка,,
прыгнуть,мост,,
резать,вена,,
резать,запястье,,
рина,,,
самовыпил,,,
самовыпилиться,,,
самоубийство,,,
свести,счеты,с,жизнь
синий,кит,,
стать,герой,,
стрихнин,,,
суицид,,,
тихий,дом,,
тихийдом,,,
убить,себя,,
удавиться,,,
уже,слишком,поздно,
уйти,жизнь,,
ф57,,,
ф58,,,
хочу,боль,прекратиться,
хочу,боль,прекратить,
цианид,,,
шагнуть,крыша,,
шагнуть,окно,,
экстремальный,отравление,свинец,
экстремальный,свинцовый,отравление,
я,больше,не,могу
я,незачем,жить,
я,устал,жизнь,
я,на,краю,
я,не,нужен,
f57,,,
f58,,,
